,GEO,Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A),Gender (3),VALUE
281,Alberta,"1430 Library, correspondence and other clerks",Women+,4120
282,Alberta,14300 Library assistants and clerks,Total - Gender,1930
283,Alberta,14300 Library assistants and clerks,Men+,300
284,Alberta,14300 Library assistants and clerks,Women+,1625
285,Alberta,"14301 Correspondence, publication and regulatory clerks",Total - Gender,3105
286,Alberta,"14301 Correspondence, publication and regulatory clerks",Men+,605
287,Alberta,"14301 Correspondence, publication and regulatory clerks",Women+,2495
288,Alberta,"144 Supply chain logistics, tracking and scheduling coordination occupations",Total - Gender,32400
289,Alberta,"144 Supply chain logistics, tracking and scheduling coordination occupations",Men+,20860
290,Alberta,"144 Supply chain logistics, tracking and scheduling coordination occupations",Women+,11535
291,Alberta,"1440 Supply chain logistics, tracking and scheduling coordination occupations",Total - Gender,32400
292,Alberta,"1440 Supply chain logistics, tracking and scheduling coordination occupations",Men+,20860
293,Alberta,"1440 Supply chain logistics, tracking and scheduling coordination occupations",Women+,11535
294,Alberta,14400 Shippers and receivers,Total - Gender,15135
295,Alberta,14400 Shippers and receivers,Men+,10955
296,Alberta,14400 Shippers and receivers,Women+,4180
297,Alberta,14401 Storekeepers and partspersons,Total - Gender,7230
298,Alberta,14401 Storekeepers and partspersons,Men+,5170
299,Alberta,14401 Storekeepers and partspersons,Women+,2065
300,Alberta,14402 Production logistics workers,Total - Gender,905
301,Alberta,14402 Production logistics workers,Men+,450
302,Alberta,14402 Production logistics workers,Women+,460
303,Alberta,14403 Purchasing and inventory control workers,Total - Gender,4310
304,Alberta,14403 Purchasing and inventory control workers,Men+,2165
305,Alberta,14403 Purchasing and inventory control workers,Women+,2145
306,Alberta,14404 Dispatchers,Total - Gender,4330
307,Alberta,14404 Dispatchers,Men+,1895
308,Alberta,14404 Dispatchers,Women+,2440
309,Alberta,14405 Transportation route and crew schedulers,Total - Gender,485
310,Alberta,14405 Transportation route and crew schedulers,Men+,235
311,Alberta,14405 Transportation route and crew schedulers,Women+,245
312,Alberta,2 Natural and applied sciences and related occupations,Total - Gender,192305
313,Alberta,2 Natural and applied sciences and related occupations,Men+,147700
314,Alberta,2 Natural and applied sciences and related occupations,Women+,44610
315,Alberta,"20 Specialized middle management occupations in engineering, architecture, science and information systems",Total - Gender,14285
316,Alberta,"20 Specialized middle management occupations in engineering, architecture, science and information systems",Men+,10930
317,Alberta,"20 Specialized middle management occupations in engineering, architecture, science and information systems",Women+,3355
318,Alberta,"200 Specialized middle management occupations in engineering, architecture, science and information systems",Total - Gender,14285
319,Alberta,"200 Specialized middle management occupations in engineering, architecture, science and information systems",Men+,10930
320,Alberta,"200 Specialized middle management occupations in engineering, architecture, science and information systems",Women+,3355
321,Alberta,"2001 Managers in engineering, architecture, science and information systems",Total - Gender,14285
322,Alberta,"2001 Managers in engineering, architecture, science and information systems",Men+,10930
323,Alberta,"2001 Managers in engineering, architecture, science and information systems",Women+,3355
324,Alberta,20010 Engineering managers,Total - Gender,5460
325,Alberta,20010 Engineering managers,Men+,4490
326,Alberta,20010 Engineering managers,Women+,965
